No,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,Y
14042,89,89,0,0,0.225,0.225,0,0,20,20,0,0,0.989,4,24,4,23,0.174,0.774,2,11.875,1.238,1.978,29.326,2.659,3.47,0.583,0.155,0.36,0.007,0.691,0,7.667,4.643,1
14043,653,298,355,0,0.613,0.671,0.563,0,400,200,200,0,0.718,5,528,128,278,0.46,0.752,3,26.646,1.231,2.025,27.834,1.996,1.239,3.332,-0.88,-0.492,-0.22,0.614,-0.337,27.8,39.336,1
14044,187,187,0,0,0,0,0,0,0,0,0,0,0.973,1,0,0,95,0,0,0,0,0,0,22.025,0.929,0.994,0,0,0,0,0,0,31.667,7.846,1
14045,622,219,403,0,0,0,0,0,0,0,0,0,0.965,1,0,0,338,0,0,1,0,0,0,17.492,1.384,1.445,0,0,0,0,0,0,42.25,29.6,1
14046,1455,63,827,565,0.24,0.683,0.37,0,349,43,306,0,0.42,1,420,71,131,0.542,2.26,4,37.85,1.062,1.186,11.592,0.688,0.526,-9.421,5.127,1.391,0.806,-0.142,0.243,43.667,22.395,0
14047,540,168,372,0,0.006,0.018,0,0,3,3,0,0,0.998,5,3,0,40,0,0,2,2.179,0.305,0,16.552,0.981,0.973,9.094,1.608,0.915,-0.43,1.161,-0.254,13.333,14.636,0
14048,831,162,669,0,0.085,0.278,0.039,0,71,45,26,0,0.921,6,173,102,373,0.273,3.201,6,12.848,2.061,2.334,25.363,1.25,1.605,-13.892,-3.018,1.82,1.072,-0.981,-0.268,37.3,52.76,1
14049,367,0,367,0,0,0,0,0,0,0,0,0,1,5,0,0,842,0,0,0,0,0,0,19.142,2.162,1.479,0,0,0,0,0,0,36.609,18.824,1
14050,101,101,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5,0,0,1,0,0,0,5.645,0.963,1.735,0,0,0,0,0,0,5,0,1
14051,761,234,527,0,0,0,0,0,0,0,0,0,0.993,1,0,0,216,0,0,2,0,0,0,16.203,1.575,1.53,0,0,0,0,0,0,36,18.421,1
14052,1179,372,807,0,0,0,0,0,0,0,0,0,0.933,5,0,0,716,0,0,1,0,0,0,25.9,1.394,1.567,0,0,0,0,0,0,31.13,37.345,1
14053,185,185,0,0,0,0,0,0,0,0,0,0,1,5,0,0,34,0,0,2,0,0,0,11.354,1.962,1.897,0,0,0,0,0,0,6.8,3.187,1
14054,423,212,211,0,0.078,0.156,0,0,33,33,0,0,0.762,5,38,5,328,0.015,0.195,2,8.573,1.174,1.796,27.643,1.246,2.299,-9.744,-7.548,0,0,3.689,-0.526,82,59.729,1
14055,239,0,239,0,0,0,0,0,0,0,0,0,1,6,0,0,24,0,0,0,0,0,0,18.616,1.001,2.387,0,0,0,0,0,0,12,0,0
14056,736,736,0,0,0,0,0,0,0,0,0,0,0.871,1,0,0,218,0,0,3,0,0,0,16.079,2.209,2.988,0,0,0,0,0,0,15.571,18.535,1
14057,412,412,0,0,0.206,0.206,0,0,85,85,0,0,0.408,1,113,28,468,0.06,0.29,2,14.652,1.591,2.403,16.61,1.971,1.802,-11.425,2.582,0,0,-2.14,-0.091,36,66.29,0
14058,381,219,162,0,0,0,0,0,0,0,0,0,0.942,5,0,0,133,0,0,1,0,0,0,37.365,2.506,2.835,0,0,0,0,0,0,33.25,27.815,0
14059,635,381,254,0,0,0,0,0,0,0,0,0,1,5,0,0,112,0,0,2,0,0,0,15.793,1.663,1.645,0,0,0,0,0,0,18.667,18.418,1
14060,395,395,0,0,0.051,0.051,0,0,20,20,0,0,0.982,5,138,118,354,0.333,6.583,4,11.741,2.632,1.145,21.755,2.975,3.287,26.122,-3.229,-3.627,0.915,-0.526,0,39.333,57.25,1
14061,276,276,0,0,0,0,0,0,0,0,0,0,0.964,5,0,0,33,0,0,1,0,0,0,19.258,1.044,1.483,0,0,0,0,0,0,8.25,4.146,1
14062,284,248,36,0,0.317,0.363,0,0,90,90,0,0,0.363,1,140,50,92,0.543,1.715,2,13.322,1.859,1.064,17.84,1.814,2.534,-1.918,6.098,-0.674,-0.179,2.682,-0.489,13.143,6.556,0
14063,154,154,0,0,0,0,0,0,0,0,0,0,0.987,4,0,0,26,0,0,1,0,0,0,20.057,1.388,2.254,0,0,0,0,0,0,13,2,1
14064,362,362,0,0,0,0,0,0,0,0,0,0,0.981,2,0,0,341,0,0,0,0,0,0,25.76,1.418,1.742,0,0,0,0,0,0,42.625,86.914,1
14065,801,455,346,0,0.021,0.037,0,0,17,17,0,0,0.933,1,21,4,247,0.016,0.763,3,8.186,2.657,3.485,33.43,1.339,1.802,-11.981,0.408,0.029,0,-1.492,-0.177,22.455,21.935,1
14066,1055,1024,31,0,0,0,0,0,0,0,0,0,0.681,3,0,0,626,0,0,0,0,0,0,19.897,1.544,2.356,0,0,0,0,0,0,24.077,24.359,1
